id;numero_etudiant;date_naissance;adresse;formation_actuelle;utilisateur_id
1;casket;2025-05-12;concerning pace;for amongst;7197
2;grave advertisement;2025-05-12;ring enfold as;monthly;19193
3;among terraform;2025-05-11;nocturnal gee amidst;luck;26257
4;yowza dwell;2025-05-12;lamp reach meatloaf;moral deck scotch;17767
5;whoa zowie when;2025-05-12;past;popularize clear;30282
6;unabashedly;2025-05-12;whether below electronics;mmm;136
7;gosh yuck grimy;2025-05-12;what easily;from aside;26656
8;axe;2025-05-11;cheap what;besides parsnip;13924
9;coil furthermore;2025-05-12;incidentally hover;via;9499
10;fiercely sunbathe;2025-05-12;qua mid upbeat;provided rationalise;26117
